Action,Sequence,Data
sad,12,[0.5362401008605957 0.554922342300415 -0.6060186624526978 ... 0.0 0.0 0.0]
sad,12,[0.5362073183059692 0.5549210906028748 -0.6047711968421936 ... 0.0 0.0 0.0]
sad,12,[0.5329523682594299 0.5563881993293762 -0.5792425870895386 ... 0.0 0.0 0.0]
sad,12,[0.5360997915267944 0.5548908114433289 -0.5842111110687256 ... 0.0 0.0 0.0]
sad,12,[0.5361074209213257 0.5548795461654663 -0.5865200757980347 ... 0.0 0.0 0.0]
sad,12,[0.5361114740371704 0.5549800992012024 -0.5757402181625366 ... 0.0 0.0 0.0]
sad,12,[0.5360838770866394 0.5549569725990295 -0.5775336027145386 ... 0.0 0.0 0.0]
sad,12,[0.5360108613967896 0.5549495220184326 -0.5813753604888916 ... 0.0 0.0 0.0]
sad,12,[0.5360364317893982 0.5549182295799255 -0.5823835730552673 ... 0.0 0.0 0.0]
sad,12,[0.5360187292098999 0.5549818277359009 -0.5867817997932434 ... 0.0 0.0 0.0]
sad,12,[0.5360127687454224 0.5549433827400208 -0.597672700881958 ... 0.0 0.0 0.0]
sad,12,[0.5358108282089233 0.5549377799034119 -0.6024154424667358 ... 0.0 0.0 0.0]
sad,12,[0.5356810688972473 0.5549401044845581 -0.6523772478103638 ... 0.0 0.0 0.0]
sad,12,[0.5338610410690308 0.5562506318092346 -0.5821448564529419 ... 0.0 0.0 0.0]
sad,12,[0.5340193510055542 0.5561972260475159 -0.5917314291000366 ... 0.0 0.0 0.0]
sad,12,[0.5343407392501831 0.5561968088150024 -0.5961982011795044 ... 0.0 0.0 0.0]
sad,12,[0.534488320350647 0.5561278462409973 -0.6078487038612366 ... 0.0 0.0 0.0]
sad,12,[0.5345054864883423 0.5561240315437317 -0.6067035794258118 ... 0.0 0.0 0.0]
sad,12,[0.5345408916473389 0.5561352372169495 -0.6125351190567017 ... 0.0 0.0 0.0]
sad,12,[0.5345598459243774 0.556181013584137 -0.6011689305305481 ... 0.0 0.0 0.0]
sad,13,[0.5356415510177612 0.5551120638847351 -0.6210167407989502 ... 0.0 0.0 0.0]
sad,13,[0.5358220934867859 0.5551068186759949 -0.6395875215530396 ... 0.0 0.0 0.0]
sad,13,[0.5359715223312378 0.5551225543022156 -0.5937393307685852 ... 0.0 0.0 0.0]
sad,13,[0.536042332649231 0.5550211071968079 -0.5920118093490601 ... 0.0 0.0 0.0]
sad,13,[0.5358691811561584 0.5550203323364258 -0.6121066212654114 ... 0.0 0.0 0.0]
sad,13,[0.5359750986099243 0.555046021938324 -0.619970440864563 ... 0.0 0.0 0.0]
sad,13,[0.5366586446762085 0.5550514459609985 -0.616987943649292 ... 0.0 0.0 0.0]
sad,13,[0.536803126335144 0.5550665259361267 -0.6157418489456177 ... 0.0 0.0 0.0]
sad,13,[0.536700963973999 0.5550792813301086 -0.6155271530151367 ... 0.0 0.0 0.0]
sad,13,[0.5366588830947876 0.5552365779876709 -0.6146573424339294 ... 0.0 0.0 0.0]
sad,13,[0.5366809964179993 0.5552672147750854 -0.6558137536048889 ... 0.0 0.0 0.0]
sad,13,[0.5366817712783813 0.5552833676338196 -0.6495028734207153 ... 0.0 0.0 0.0]
sad,13,[0.5357860326766968 0.5550922155380249 -0.6040205359458923 ... 0.0 0.0 0.0]
sad,13,[0.5366930961608887 0.5552958846092224 -0.6455550789833069 ... 0.0 0.0 0.0]
sad,13,[0.5369061231613159 0.5551459789276123 -0.6344680786132812 ... 0.0 0.0 0.0]
sad,13,[0.5371028184890747 0.5549509525299072 -0.6287698149681091 ... 0.0 0.0 0.0]
sad,13,[0.5371049642562866 0.5551196336746216 -0.6198481321334839 ... 0.0 0.0 0.0]
sad,13,[0.5371785759925842 0.5549656748771667 -0.6093679666519165 ... 0.0 0.0 0.0]
sad,13,[0.5369507074356079 0.5549543499946594 -0.6114989519119263 ... 0.0 0.0 0.0]
sad,13,[0.5370327234268188 0.5549178719520569 -0.6067653894424438 ... 0.0 0.0 0.0]
sad,13,[0.5369940400123596 0.5548893213272095 -0.6053076982498169 ... 0.0 0.0 0.0]
sad,13,[0.5368155241012573 0.5550535321235657 -0.606494128704071 ... 0.0 0.0 0.0]
sad,13,[0.5369580984115601 0.5550621151924133 -0.6065239310264587 ... 0.0 0.0 0.0]
sad,13,[0.53578782081604 0.5550864338874817 -0.6031900644302368 ... 0.0 0.0 0.0]
sad,13,[0.5358196496963501 0.5550729036331177 -0.6032818555831909 ... 0.0 0.0 0.0]
sad,13,[0.5358582139015198 0.5550667643547058 -0.5923846960067749 ... 0.0 0.0 0.0]
sad,13,[0.5358487367630005 0.5550985336303711 -0.5864489674568176 ... 0.0 0.0 0.0]
sad,13,[0.5358290076255798 0.5551431179046631 -0.6014854907989502 ... 0.0 0.0 0.0]
sad,13,[0.5359739065170288 0.5552147030830383 -0.5969052314758301 ... 0.0 0.0 0.0]
sad,13,[0.536018967628479 0.5550994873046875 -0.5968297719955444 ... 0.0 0.0 0.0]
sad,14,[0.537144124507904 0.5549911260604858 -0.6065415143966675 ... 0.0 0.0 0.0]
sad,14,[0.5372439026832581 0.5551132559776306 -0.5981789827346802 ... 0.0 0.0 0.0]
sad,14,[0.5378645062446594 0.5544361472129822 -0.6146963834762573 ... 0.0 0.0 0.0]
sad,14,[0.537917971611023 0.5544522404670715 -0.6151454448699951 ... 0.0 0.0 0.0]
sad,14,[0.5374653935432434 0.5544226169586182 -0.6055333018302917 ... 0.0 0.0 0.0]
sad,14,[0.5374661684036255 0.5543788075447083 -0.626934289932251 ... 0.0 0.0 0.0]
sad,14,[0.5374890565872192 0.554325520992279 -0.6251868009567261 ... 0.0 0.0 0.0]
sad,14,[0.5378621816635132 0.5542328953742981 -0.6192129850387573 ... 0.0 0.0 0.0]
sad,14,[0.5380613207817078 0.554225742816925 -0.6185258030891418 ... 0.0 0.0 0.0]
sad,14,[0.5380908250808716 0.554198145866394 -0.6180341839790344 ... 0.0 0.0 0.0]
sad,14,[0.5381563305854797 0.5542671084403992 -0.6268841028213501 ... 0.0 0.0 0.0]
sad,14,[0.5381667613983154 0.5541878938674927 -0.6243246793746948 ... 0.0 0.0 0.0]
sad,14,[0.5373556017875671 0.5550517439842224 -0.5977429151535034 ... 0.0 0.0 0.0]
sad,14,[0.5381401777267456 0.5542345643043518 -0.6236212253570557 ... 0.0 0.0 0.0]
sad,14,[0.5380795001983643 0.5543642640113831 -0.6236525774002075 ... 0.0 0.0 0.0]
sad,14,[0.5379749536514282 0.5543027520179749 -0.5967323780059814 ... 0.0 0.0 0.0]
sad,14,[0.5379317998886108 0.5543326139450073 -0.6086046099662781 ... 0.0 0.0 0.0]
sad,14,[0.5382953882217407 0.5542837977409363 -0.6165034174919128 ... 0.0 0.0 0.0]
sad,14,[0.5382272601127625 0.5542725920677185 -0.6164969205856323 ... 0.0 0.0 0.0]
sad,14,[0.5385891199111938 0.5544341206550598 -0.618503212928772 ... 0.0 0.0 0.0]
sad,14,[0.5385895371437073 0.5544326901435852 -0.6116563081741333 ... 0.0 0.0 0.0]
sad,14,[0.5390867590904236 0.5544528365135193 -0.6143594980239868 ... 0.0 0.0 0.0]
sad,14,[0.5390118360519409 0.5544989109039307 -0.5911332368850708 ... 0.0 0.0 0.0]
sad,14,[0.5373624563217163 0.5550490021705627 -0.5932872295379639 ... 0.0 0.0 0.0]
sad,14,[0.5373687148094177 0.5548568367958069 -0.5921896696090698 ... 0.0 0.0 0.0]
sad,14,[0.537407398223877 0.5544078946113586 -0.5924485921859741 ... 0.0 0.0 0.0]
sad,14,[0.5372631549835205 0.5544020533561707 -0.5985788702964783 ... 0.0 0.0 0.0]
sad,14,[0.5378808975219727 0.5543791651725769 -0.6000182032585144 ... 0.0 0.0 0.0]
sad,14,[0.5381136536598206 0.5543652176856995 -0.6190805435180664 ... 0.0 0.0 0.0]
sad,14,[0.5379112958908081 0.5543592572212219 -0.6147353649139404 ... 0.0 0.0 0.0]
sad,15,[0.5389425158500671 0.5545087456703186 -0.6205747127532959 ... 0.0 0.0 0.0]
sad,15,[0.5380432605743408 0.5545119047164917 -0.634245753288269 ... 0.0 0.0 0.0]
sad,15,[0.5360051989555359 0.5551585555076599 -0.6256269216537476 ... 0.0 0.0 0.0]
sad,15,[0.5359740257263184 0.5550683736801147 -0.6253369450569153 ... 0.0 0.0 0.0]
sad,15,[0.5362154245376587 0.5550958514213562 -0.6353576183319092 ... 0.0 0.0 0.0]
sad,15,[0.5360995531082153 0.555080771446228 -0.6091499924659729 ... 0.0 0.0 0.0]
sad,15,[0.5359821319580078 0.5552935004234314 -0.6197315454483032 ... 0.0 0.0 0.0]
sad,15,[0.5361436605453491 0.5549052357673645 -0.6172241568565369 ... 0.0 0.0 0.0]
sad,15,[0.536064863204956 0.5548681020736694 -0.5930063724517822 ... 0.0 0.0 0.0]
sad,15,[0.5360609292984009 0.554850161075592 -0.5960167050361633 ... 0.0 0.0 0.0]
sad,15,[0.5359811782836914 0.5547685623168945 -0.5989755392074585 ... 0.0 0.0 0.0]
sad,15,[0.5354725122451782 0.5547077059745789 -0.6003714799880981 ... 0.0 0.0 0.0]
sad,15,[0.5375358462333679 0.554509162902832 -0.6336584091186523 ... 0.0 0.0 0.0]
sad,15,[0.5356917381286621 0.5543482303619385 -0.5986294150352478 ... 0.0 0.0 0.0]
sad,15,[0.5358082056045532 0.5543457865715027 -0.5994669795036316 ... 0.0 0.0 0.0]
sad,15,[0.5358195304870605 0.5542795658111572 -0.5994937419891357 ... 0.0 0.0 0.0]
sad,15,[0.5356304049491882 0.5543667674064636 -0.5999211668968201 ... 0.0 0.0 0.0]
sad,15,[0.5353626012802124 0.5543746948242188 -0.6002415418624878 ... 0.0 0.0 0.0]
sad,15,[0.5350741744041443 0.5543950796127319 -0.6384733319282532 ... 0.0 0.0 0.0]
sad,15,[0.5350683927536011 0.5544346570968628 -0.6243995428085327 ... 0.0 0.0 0.0]
sad,15,[0.5350635647773743 0.5543175935745239 -0.6274651288986206 ... 0.0 0.0 0.0]
sad,15,[0.5345350503921509 0.5543192625045776 -0.6296602487564087 ... 0.0 0.0 0.0]
sad,15,[0.53453528881073 0.55418860912323 -0.6377906203269958 ... 0.0 0.0 0.0]
sad,15,[0.5369726419448853 0.5547085404396057 -0.6540048718452454 ... 0.0 0.0 0.0]
sad,15,[0.5367896556854248 0.5546771287918091 -0.63630211353302 ... 0.0 0.0 0.0]
sad,15,[0.5362886786460876 0.554682195186615 -0.6100035905838013 ... 0.0 0.0 0.0]
sad,15,[0.536237359046936 0.5546839833259583 -0.614547610282898 ... 0.0 0.0 0.0]
sad,15,[0.5361089110374451 0.554680585861206 -0.612902045249939 ... 0.0 0.0 0.0]
sad,15,[0.5359124541282654 0.5546554327011108 -0.6058744788169861 ... 0.0 0.0 0.0]
sad,15,[0.535988450050354 0.5547267198562622 -0.6122510433197021 ... 0.0 0.0 0.0]
sad,16,[0.5345460176467896 0.5541703104972839 -0.6212286353111267 ... 0.0 0.0 0.0]
sad,16,[0.5345432162284851 0.5540564656257629 -0.6145373582839966 ... 0.0 0.0 0.0]
sad,16,[0.5349515080451965 0.5540230870246887 -0.6525697112083435 ... 0.0 0.0 0.0]
sad,16,[0.535514771938324 0.5539119243621826 -0.6497153043746948 ... 0.0 0.0 0.0]
sad,16,[0.5356816053390503 0.5537211894989014 -0.6598238348960876 ... 0.0 0.0 0.0]
sad,16,[0.5358061194419861 0.5533251166343689 -0.6409064531326294 ... 0.0 0.0 0.0]
sad,16,[0.535788357257843 0.5532317757606506 -0.6170802116394043 ... 0.0 0.0 0.0]
sad,16,[0.535790205001831 0.553227961063385 -0.5973631143569946 ... 0.0 0.0 0.0]
sad,16,[0.5358990430831909 0.553391695022583 -0.5996642708778381 ... 0.0 0.0 0.0]
sad,16,[0.5361107587814331 0.5534229874610901 -0.5980137586593628 ... 0.0 0.0 0.0]
sad,16,[0.5361121892929077 0.5533468723297119 -0.5993251204490662 ... 0.0 0.0 0.0]
sad,16,[0.5359950661659241 0.5533222556114197 -0.5994695425033569 ... 0.0 0.0 0.0]
sad,16,[0.5345156788825989 0.5541519522666931 -0.6103130578994751 ... 0.0 0.0 0.0]
sad,16,[0.5360179543495178 0.5533387064933777 -0.6004236936569214 ... 0.0 0.0 0.0]
sad,16,[0.5359658002853394 0.5533296465873718 -0.6011192202568054 ... 0.0 0.0 0.0]
sad,16,[0.5359640717506409 0.5533968210220337 -0.6237097978591919 ... 0.0 0.0 0.0]
sad,16,[0.5358587503433228 0.5534374713897705 -0.6053402423858643 ... 0.0 0.0 0.0]
sad,16,[0.5355281829833984 0.553475558757782 -0.6035629510879517 ... 0.0 0.0 0.0]
sad,16,[0.5355227589607239 0.553467333316803 -0.6226263046264648 ... 0.0 0.0 0.0]
sad,16,[0.5356486439704895 0.553468644618988 -0.6288242936134338 ... 0.0 0.0 0.0]
sad,16,[0.5356195569038391 0.553494393825531 -0.6093006730079651 ... 0.0 0.0 0.0]
sad,16,[0.5361641049385071 0.553566575050354 -0.6093942523002625 ... 0.0 0.0 0.0]
sad,16,[0.5361529588699341 0.5540666580200195 -0.606670618057251 ... 0.0 0.0 0.0]
sad,16,[0.5345245003700256 0.5535368323326111 -0.6084423065185547 ... 0.0 0.0 0.0]
sad,16,[0.5345230102539062 0.5538039803504944 -0.6122187376022339 ... 0.0 0.0 0.0]
sad,16,[0.5349268317222595 0.5538259148597717 -0.6107240319252014 ... 0.0 0.0 0.0]
sad,16,[0.5349302887916565 0.5538398027420044 -0.610602855682373 ... 0.0 0.0 0.0]
sad,16,[0.5348809957504272 0.5538679957389832 -0.6078850030899048 ... 0.0 0.0 0.0]
sad,16,[0.5348705053329468 0.5538803339004517 -0.6078245639801025 ... 0.0 0.0 0.0]
sad,16,[0.5348485708236694 0.553996741771698 -0.6122468113899231 ... 0.0 0.0 0.0]
sad,17,[0.5361769199371338 0.5539459586143494 -0.608751654624939 ... 0.0 0.0 0.0]
sad,17,[0.5361711382865906 0.5539243221282959 -0.6210933923721313 ... 0.0 0.0 0.0]
sad,17,[0.5367938280105591 0.5541537404060364 -0.5994480848312378 ... 0.0 0.0 0.0]
sad,17,[0.5366581678390503 0.5541573762893677 -0.6007498502731323 ... 0.0 0.0 0.0]
sad,17,[0.5367058515548706 0.5543677806854248 -0.6014219522476196 ... 0.0 0.0 0.0]
sad,17,[0.5365826487541199 0.5546071529388428 -0.5927420854568481 ... 0.0 0.0 0.0]
sad,17,[0.5366398692131042 0.5543225407600403 -0.603215754032135 ... 0.0 0.0 0.0]
sad,17,[0.5365011692047119 0.5543640851974487 -0.5941123366355896 ... 0.0 0.0 0.0]
sad,17,[0.5365024209022522 0.5546085834503174 -0.593436062335968 ... 0.0 0.0 0.0]
sad,17,[0.536132276058197 0.5544727444648743 -0.5940325856208801 ... 0.0 0.0 0.0]
sad,17,[0.5358132123947144 0.5544418096542358 -0.5933325886726379 ... 0.0 0.0 0.0]
sad,17,[0.53564453125 0.5543880462646484 -0.5957844257354736 ... 0.0 0.0 0.0]
sad,17,[0.5359649658203125 0.5539249777793884 -0.6197394132614136 ... 0.0 0.0 0.0]
sad,17,[0.5355061292648315 0.554468035697937 -0.6052455902099609 ... 0.0 0.0 0.0]
sad,17,[0.5355005860328674 0.5545238256454468 -0.6194266676902771 ... 0.0 0.0 0.0]
sad,17,[0.5353893041610718 0.5546197295188904 -0.66401207447052 ... 0.0 0.0 0.0]
sad,17,[0.5353825092315674 0.5546455383300781 -0.642968475818634 ... 0.0 0.0 0.0]
sad,17,[0.5353756546974182 0.5546889901161194 -0.6509599089622498 ... 0.0 0.0 0.0]
sad,17,[0.535491406917572 0.5547192692756653 -0.6112918257713318 ... 0.0 0.0 0.0]
sad,17,[0.535507082939148 0.5547098517417908 -0.60919189453125 ... 0.0 0.0 0.0]
sad,17,[0.5355603694915771 0.5546590685844421 -0.6083763241767883 ... 0.0 0.0 0.0]
sad,17,[0.5355307459831238 0.5549594759941101 -0.627204179763794 ... 0.0 0.0 0.0]
sad,17,[0.5351563692092896 0.5550079345703125 -0.6283668279647827 ... 0.0 0.0 0.0]
sad,17,[0.535968542098999 0.5541329979896545 -0.633281946182251 ... 0.0 0.0 0.0]
sad,17,[0.5359352827072144 0.5541544556617737 -0.6289981007575989 ... 0.0 0.0 0.0]
sad,17,[0.5360488295555115 0.5541598200798035 -0.631210207939148 ... 0.0 0.0 0.0]
sad,17,[0.5358973741531372 0.5542523860931396 -0.6006827354431152 ... 0.0 0.0 0.0]
sad,17,[0.5362123250961304 0.5542176961898804 -0.5968250632286072 ... 0.0 0.0 0.0]
sad,17,[0.5363250970840454 0.5541887879371643 -0.5984357595443726 ... 0.0 0.0 0.0]
sad,17,[0.5366541743278503 0.554186999797821 -0.5986752510070801 ... 0.0 0.0 0.0]
sad,18,[0.5351608991622925 0.554820716381073 -0.6153958439826965 ... 0.0 0.0 0.0]
sad,18,[0.5350674390792847 0.5549883246421814 -0.6016877889633179 ... 0.0 0.0 0.0]
sad,18,[0.5345975756645203 0.5555065274238586 -0.613067090511322 ... 0.0 0.0 0.0]
sad,18,[0.5340086221694946 0.5558688044548035 -0.6182345151901245 ... 0.0 0.0 0.0]
sad,18,[0.5335960388183594 0.5558791756629944 -0.6141890287399292 ... 0.0 0.0 0.0]
sad,18,[0.5337041616439819 0.555885374546051 -0.6059328317642212 ... 0.0 0.0 0.0]
sad,18,[0.5335611701011658 0.5552747249603271 -0.6038632988929749 ... 0.0 0.0 0.0]
sad,18,[0.5334232449531555 0.5551827549934387 -0.6490418910980225 ... 0.0 0.0 0.0]
sad,18,[0.5333849787712097 0.555312991142273 -0.6434920430183411 ... 0.0 0.0 0.0]
sad,18,[0.5334376096725464 0.5553731918334961 -0.629897952079773 ... 0.0 0.0 0.0]
sad,18,[0.5338162183761597 0.5552684664726257 -0.6286239624023438 ... 0.0 0.0 0.0]
sad,18,[0.5338197946548462 0.5551963448524475 -0.6278039216995239 ... 0.0 0.0 0.0]
sad,18,[0.5350595712661743 0.554906964302063 -0.6006439924240112 ... 0.0 0.0 0.0]
sad,18,[0.5339123010635376 0.5551519989967346 -0.6265290975570679 ... 0.0 0.0 0.0]
sad,18,[0.5341826677322388 0.5551031231880188 -0.6228939294815063 ... 0.0 0.0 0.0]
sad,18,[0.5341187715530396 0.5551092624664307 -0.6242663860321045 ... 0.0 0.0 0.0]
sad,18,[0.5341182351112366 0.5548540353775024 -0.6257330775260925 ... 0.0 0.0 0.0]
sad,18,[0.5341540575027466 0.5549226403236389 -0.605627715587616 ... 0.0 0.0 0.0]
sad,18,[0.5341448783874512 0.554913341999054 -0.5974635481834412 ... 0.0 0.0 0.0]
sad,18,[0.5343185067176819 0.5553580522537231 -0.5975544452667236 ... 0.0 0.0 0.0]
sad,18,[0.5341161489486694 0.5553594827651978 -0.5982944965362549 ... 0.0 0.0 0.0]
sad,18,[0.5341746807098389 0.5552383065223694 -0.6069773435592651 ... 0.0 0.0 0.0]
sad,18,[0.534277081489563 0.555263876914978 -0.6339830160140991 ... 0.0 0.0 0.0]
sad,18,[0.5351793169975281 0.5549306273460388 -0.5919894576072693 ... 0.0 0.0 0.0]
sad,18,[0.5353173017501831 0.5549692511558533 -0.5925015807151794 ... 0.0 0.0 0.0]
sad,18,[0.5354729890823364 0.5549737215042114 -0.6351444125175476 ... 0.0 0.0 0.0]
sad,18,[0.5350740551948547 0.555059015750885 -0.6317688226699829 ... 0.0 0.0 0.0]
sad,18,[0.534993052482605 0.5550824999809265 -0.6299080848693848 ... 0.0 0.0 0.0]
sad,18,[0.53497713804245 0.5550891757011414 -0.6320342421531677 ... 0.0 0.0 0.0]
sad,18,[0.5345938801765442 0.5555275678634644 -0.6279608011245728 ... 0.0 0.0 0.0]
sad,19,[0.5342605113983154 0.5552642941474915 -0.6237888336181641 ... 0.0 0.0 0.0]
sad,19,[0.5342164635658264 0.5551901459693909 -0.6137920618057251 ... 0.0 0.0 0.0]
sad,19,[0.5333300828933716 0.5551502108573914 -0.5949099659919739 ... 0.0 0.0 0.0]
sad,19,[0.5333210825920105 0.5550220608711243 -0.6018680930137634 ... 0.0 0.0 0.0]
sad,19,[0.5333830118179321 0.5548189282417297 -0.6005827188491821 ... 0.0 0.0 0.0]
sad,19,[0.5333655476570129 0.5548109412193298 -0.5989121794700623 ... 0.0 0.0 0.0]
sad,19,[0.5333606004714966 0.5547639727592468 -0.5989651679992676 ... 0.0 0.0 0.0]
sad,19,[0.5333409905433655 0.5546585917472839 -0.5945830345153809 ... 0.0 0.0 0.0]
sad,19,[0.5333468317985535 0.5546628832817078 -0.6010702848434448 ... 0.0 0.0 0.0]
sad,19,[0.533557653427124 0.5545357465744019 -0.6004049777984619 ... 0.0 0.0 0.0]
sad,19,[0.5336037278175354 0.5541892647743225 -0.6030564904212952 ... 0.0 0.0 0.0]
sad,19,[0.5335215330123901 0.5542441606521606 -0.6211162209510803 ... 0.0 0.0 0.0]
sad,19,[0.5337060689926147 0.5551707744598389 -0.6065775156021118 ... 0.0 0.0 0.0]
sad,19,[0.5332245826721191 0.5542319416999817 -0.6202133893966675 ... 0.0 0.0 0.0]
sad,19,[0.5332349538803101 0.5539257526397705 -0.6189296245574951 ... 0.0 0.0 0.0]
sad,19,[0.5329720973968506 0.5538729429244995 -0.6179702281951904 ... 0.0 0.0 0.0]
sad,19,[0.5324989557266235 0.5536805987358093 -0.6182734370231628 ... 0.0 0.0 0.0]
sad,19,[0.5326350927352905 0.5535507798194885 -0.6206745505332947 ... 0.0 0.0 0.0]
sad,19,[0.5326929092407227 0.5531245470046997 -0.6181021928787231 ... 0.0 0.0 0.0]
sad,19,[0.5328931212425232 0.5528306365013123 -0.6047389507293701 ... 0.0 0.0 0.0]
sad,19,[0.5329489707946777 0.5527936816215515 -0.6007886528968811 ... 0.0 0.0 0.0]
sad,19,[0.5329077839851379 0.5528630614280701 -0.6176921725273132 ... 0.0 0.0 0.0]
sad,19,[0.532941460609436 0.5528243780136108 -0.615996241569519 ... 0.0 0.0 0.0]
sad,19,[0.5336266756057739 0.5551722645759583 -0.6107775568962097 ... 0.0 0.0 0.0]
sad,19,[0.533506453037262 0.5551537871360779 -0.6082509756088257 ... 0.0 0.0 0.0]
sad,19,[0.5330380201339722 0.555153489112854 -0.6076828241348267 ... 0.0 0.0 0.0]
sad,19,[0.5334955453872681 0.555225133895874 -0.5975016355514526 ... 0.0 0.0 0.0]
sad,19,[0.5332702398300171 0.5552179217338562 -0.5913575887680054 ... 0.0 0.0 0.0]
sad,19,[0.5332738161087036 0.5551928877830505 -0.5917607545852661 ... 0.0 0.0 0.0]
sad,19,[0.5333298444747925 0.555176317691803 -0.5946299433708191 ... 0.0 0.0 0.0]
sad,2,[0.5506874322891235 0.5502396821975708 -0.5927793979644775 ... 0.0 0.0 0.0]
sad,2,[0.5507467985153198 0.5502842664718628 -0.5797972083091736 ... 0.0 0.0 0.0]
sad,2,[0.5505908727645874 0.5514481067657471 -0.5858184099197388 ... 0.0 0.0 0.0]
sad,2,[0.5506240725517273 0.5513962507247925 -0.6093413233757019 ... 0.0 0.0 0.0]
sad,2,[0.5505274534225464 0.55088210105896 -0.608268678188324 ... 0.0 0.0 0.0]
sad,2,[0.5492978692054749 0.550787091255188 -0.5951597690582275 ... 0.0 0.0 0.0]
sad,2,[0.5493355989456177 0.5505399107933044 -0.5927643179893494 ... 0.0 0.0 0.0]
sad,2,[0.5487498641014099 0.5505212545394897 -0.6048723459243774 ... 0.0 0.0 0.0]
sad,2,[0.548736572265625 0.5501953363418579 -0.6109791994094849 ... 0.0 0.0 0.0]
sad,2,[0.5487629175186157 0.5499955415725708 -0.5876041650772095 ... 0.0 0.0 0.0]
sad,2,[0.5486605167388916 0.5499850511550903 -0.5757395029067993 ... 0.0 0.0 0.0]
sad,2,[0.5486531257629395 0.549941897392273 -0.5767890214920044 ... 0.0 0.0 0.0]
sad,2,[0.5510877370834351 0.5506264567375183 -0.59383225440979 ... 0.0 0.0 0.0]
sad,2,[0.5486650466918945 0.5499112010002136 -0.5705083608627319 ... 0.0 0.0 0.0]
sad,2,[0.5486929416656494 0.549822211265564 -0.598333477973938 ... 0.0 0.0 0.0]
sad,2,[0.5490383505821228 0.5497438907623291 -0.608669638633728 ... 0.0 0.0 0.0]
sad,2,[0.5489607453346252 0.549776017665863 -0.6070162653923035 ... 0.0 0.0 0.0]
sad,2,[0.5489432215690613 0.5497675538063049 -0.6077438592910767 ... 0.0 0.0 0.0]
sad,2,[0.5490232706069946 0.5497480630874634 -0.5791348814964294 ... 0.0 0.0 0.0]
sad,2,[0.5491458773612976 0.5497305393218994 -0.5762045383453369 ... 0.0 0.0 0.0]
sad,2,[0.5490719676017761 0.5496809482574463 -0.5772460103034973 ... 0.0 0.0 0.0]
sad,2,[0.5491935014724731 0.5497213006019592 -0.5826352834701538 ... 0.0 0.0 0.0]
sad,2,[0.5490995049476624 0.5497255921363831 -0.5755459666252136 ... 0.0 0.0 0.0]
sad,2,[0.551091730594635 0.5506884455680847 -0.5930598378181458 ... 0.0 0.0 0.0]
sad,2,[0.5510743856430054 0.5510246157646179 -0.5719947218894958 ... 0.0 0.0 0.0]
sad,2,[0.5510547161102295 0.5510247945785522 -0.5736111402511597 ... 0.0 0.0 0.0]
sad,2,[0.550918698310852 0.5510398745536804 -0.6006709337234497 ... 0.0 0.0 0.0]
sad,2,[0.5509837865829468 0.5510457754135132 -0.5925863981246948 ... 0.0 0.0 0.0]
sad,2,[0.5506633520126343 0.5510253310203552 -0.5937567949295044 ... 0.0 0.0 0.0]
sad,2,[0.5506618022918701 0.5511480569839478 -0.589444100856781 ... 0.0 0.0 0.0]
sad,20,[0.5329896211624146 0.5528339743614197 -0.6106115579605103 ... 0.0 0.0 0.0]
sad,20,[0.5334011912345886 0.5530577301979065 -0.6142686605453491 ... 0.0 0.0 0.0]
sad,20,[0.5348613858222961 0.5534546375274658 -0.6095531582832336 ... 0.0 0.0 0.0]
sad,20,[0.5348289012908936 0.5534327030181885 -0.5934929251670837 ... 0.0 0.0 0.0]
sad,20,[0.534881055355072 0.5535743236541748 -0.6160754561424255 ... 0.0 0.0 0.0]
sad,20,[0.5349597334861755 0.5535853505134583 -0.6161206960678101 ... 0.0 0.0 0.0]
sad,20,[0.5349647998809814 0.5533560514450073 -0.6162185072898865 ... 0.0 0.0 0.0]
sad,20,[0.5350931882858276 0.553127646446228 -0.58930504322052 ... 0.0 0.0 0.0]
sad,20,[0.53505939245224 0.553065836429596 -0.5839806199073792 ... 0.0 0.0 0.0]
sad,20,[0.534945011138916 0.5529354214668274 -0.5976792573928833 ... 0.0 0.0 0.0]
sad,20,[0.534804105758667 0.552855908870697 -0.5879923105239868 ... 0.0 0.0 0.0]
sad,20,[0.5348354578018188 0.5527938604354858 -0.582201361656189 ... 0.0 0.0 0.0]
sad,20,[0.5335065126419067 0.5531094074249268 -0.5998018980026245 ... 0.0 0.0 0.0]
sad,20,[0.5348395109176636 0.5527991652488708 -0.5981715321540833 ... 0.0 0.0 0.0]
sad,20,[0.5346649885177612 0.5525274872779846 -0.59880530834198 ... 0.0 0.0 0.0]
sad,20,[0.5347134470939636 0.5524563193321228 -0.5911556482315063 ... 0.0 0.0 0.0]
sad,20,[0.5348085761070251 0.5524529218673706 -0.596585750579834 ... 0.0 0.0 0.0]
sad,20,[0.5351887941360474 0.5524178743362427 -0.5955792665481567 ... 0.0 0.0 0.0]
sad,20,[0.5353995561599731 0.5526136755943298 -0.5760296583175659 ... 0.0 0.0 0.0]
sad,20,[0.5356537699699402 0.552609384059906 -0.5786518454551697 ... 0.0 0.0 0.0]
sad,20,[0.5356576442718506 0.5526180267333984 -0.5958763360977173 ... 0.0 0.0 0.0]
